    | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:25:05,108 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:28:36,577 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:29:21,911 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:32:13,262 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:33:20,607 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:36:57,681 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:38:57,006 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:40:27,252 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:41:16,735 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:42:09,853 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:42:31,444 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:42:31,460 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:42:59,118 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:43:34,218 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:44:47,476 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:44:47,476 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:45:26,663 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:45:26,663 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:45:59,111 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:45:59,127 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:47:55,098 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:47:55,207 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:55:15,018 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:55:15,143 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:56:39,789 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:56:39,914 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:57:03,439 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:57:03,563 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 15:57:43,032 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 15:57:43,156 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-10 16:00:18,969 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
