2020-07-10 10:11:29,738 | INFO     | server | 200 : OK
2020-07-10 10:11:29,862 | INFO     | decorators | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:11 29', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:14:56,501 | INFO     | {LOGGER_NAME} | 200 : OK
2020-07-10 10:14:56,639 | INFO     | {LOGGER_NAME} | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:14 56', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:16:46,798 | INFO     | server | 200 : OK
2020-07-10 10:16:46,930 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:16 46', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:17:09,983 | INFO     | server | 200 : OK
2020-07-10 10:17:10,115 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:17 09', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:19:06,679 | INFO     | server | 200 : OK
2020-07-10 10:19:06,805 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:19 06', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:24:37,868 | INFO     | server | 200 : OK
2020-07-10 10:24:37,994 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:24 37', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:41:37,268 | INFO     | server | 200 : OK
2020-07-10 10:41:37,400 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:41 37', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:41:37,401 | INFO     | server | 200 : OK
2020-07-10 10:41:37,403 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:41 37', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:01,818 | INFO     | server | 200 : OK
2020-07-10 10:42:01,820 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:01,821 | INFO     | server | 200 : OK
2020-07-10 10:42:01,823 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:01,929 | INFO     | server | 200 : OK
2020-07-10 10:42:01,931 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:02,291 | INFO     | server | 200 : OK
2020-07-10 10:42:02,293 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:02,309 | INFO     | server | 200 : OK
2020-07-10 10:42:02,313 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 02', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:02,330 | INFO     | server | 200 : OK
2020-07-10 10:42:02,342 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 02', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:42:02,457 | INFO     | server | 200 : OK
2020-07-10 10:42:02,458 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:42 02', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:00,925 | INFO     | server | 200 : OK
2020-07-10 10:44:01,095 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 00', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,118 | INFO     | server | 200 : OK
2020-07-10 10:44:01,120 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 00', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,123 | INFO     | server | 200 : OK
2020-07-10 10:44:01,125 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 00', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,215 | INFO     | server | 200 : OK
2020-07-10 10:44:01,216 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,397 | INFO     | server | 200 : OK
2020-07-10 10:44:01,401 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,406 | INFO     | server | 200 : OK
2020-07-10 10:44:01,412 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:44:01,443 | INFO     | server | 200 : OK
2020-07-10 10:44:01,445 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:44 01', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,646 | INFO     | server | 200 : OK
2020-07-10 10:47:28,830 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,852 | INFO     | server | 200 : OK
2020-07-10 10:47:28,858 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,873 | INFO     | server | 200 : OK
2020-07-10 10:47:28,875 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,880 | INFO     | server | 200 : OK
2020-07-10 10:47:28,896 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,931 | INFO     | server | 200 : OK
2020-07-10 10:47:28,934 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:28,946 | INFO     | server | 200 : OK
2020-07-10 10:47:28,949 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 28', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:47:29,298 | INFO     | server | 200 : OK
2020-07-10 10:47:29,300 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:47 29', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,068 | INFO     | server | 200 : OK
2020-07-10 10:49:40,297 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 39', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,300 | INFO     | server | 200 : OK
2020-07-10 10:49:40,302 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 39', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,303 | INFO     | server | 200 : OK
2020-07-10 10:49:40,304 | INFO     | server | Была вызвана функция process_client_message с параметрами ({'action': 'presence', 'time': '10-07-2020 10:49 39', 'user': {'account_name': 'Guest'}},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-10 10:49:40,305 | INFO     | server | 200 : OK
