2020-07-07 12:09:00,658 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:00,661 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:00,662 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:09:03,987 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:03,991 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:09:03,992 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:22:06,041 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:22:06,171 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:22:06,173 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
2020-07-07 12:25:14,546 | INFO     | client | Была вызвана функция create_presence с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:25:14,686 | INFO     | client | Была вызвана функция process_ans с параметрами ({'response': 200},), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции main
2020-07-07 12:25:14,687 | INFO     | client | Была вызвана функция main с параметрами (), {}.Вызов из модуля __main__. Вызов из функции main().Вызов из функции <module>
